Start date;End date;Biomass [MWh] Original resolutions;Hydropower [MWh] Original resolutions;Wind onshore [MWh] Original resolutions;Photovoltaics [MWh] Original resolutions;Other renewable [MWh] Original resolutions;Hard coal [MWh] Original resolutions;Fossil gas [MWh] Original resolutions;Hydro pumped storage [MWh] Original resolutions;Other conventional [MWh] Original resolutions
Jan 11, 2025 8:00 PM;Jan 11, 2025 8:15 PM;64.00;831.75;840.00;0.00;0.00;0.00;341.50;75.00;30.50
Jan 11, 2025 8:15 PM;Jan 11, 2025 8:30 PM;64.00;800.00;848.00;0.00;0.00;0.00;336.00;59.75;30.50
Jan 11, 2025 8:30 PM;Jan 11, 2025 8:45 PM;64.00;779.00;855.00;0.00;0.00;0.00;331.00;52.75;30.50
Jan 11, 2025 8:45 PM;Jan 11, 2025 9:00 PM;64.00;778.50;865.00;0.00;0.00;0.00;332.75;36.50;30.50
Jan 11, 2025 9:00 PM;Jan 11, 2025 9:15 PM;64.00;782.00;872.00;0.00;0.00;0.00;335.00;24.25;30.50
Jan 11, 2025 9:15 PM;Jan 11, 2025 9:30 PM;64.00;762.00;884.00;0.00;0.00;0.00;330.50;25.00;30.50
Jan 11, 2025 9:30 PM;Jan 11, 2025 9:45 PM;64.00;734.25;890.00;0.00;0.00;0.00;324.50;36.25;30.50
Jan 11, 2025 9:45 PM;Jan 11, 2025 10:00 PM;64.00;722.25;890.00;0.00;0.00;0.00;319.25;40.00;30.50
Jan 11, 2025 10:00 PM;Jan 11, 2025 10:15 PM;65.00;726.75;888.00;0.00;0.00;0.00;319.75;23.50;30.50
Jan 11, 2025 10:15 PM;Jan 11, 2025 10:30 PM;65.00;720.75;886.00;0.00;0.00;0.00;318.75;20.25;30.50
Jan 11, 2025 10:30 PM;Jan 11, 2025 10:45 PM;65.00;714.75;886.00;0.00;0.00;0.00;316.75;18.25;30.50
Jan 11, 2025 10:45 PM;Jan 11, 2025 11:00 PM;65.00;694.25;892.00;0.00;0.00;0.00;316.00;15.00;30.50
Jan 11, 2025 11:00 PM;Jan 11, 2025 11:15 PM;65.00;696.50;895.00;0.00;0.00;0.00;315.50;0.00;30.50
Jan 11, 2025 11:15 PM;Jan 11, 2025 11:30 PM;65.00;680.00;892.00;0.00;0.00;0.00;312.25;0.00;30.50
Jan 11, 2025 11:30 PM;Jan 11, 2025 11:45 PM;65.00;664.75;889.00;0.00;0.00;0.00;309.50;0.00;30.50
Jan 11, 2025 11:45 PM;Jan 12, 2025 12:00 AM;65.00;666.75;886.00;0.00;0.00;0.00;309.75;0.00;30.50
Jan 12, 2025 12:00 AM;Jan 12, 2025 12:15 AM;66.00;667.75;881.00;0.00;0.00;0.00;309.25;0.00;30.50
Jan 12, 2025 12:15 AM;Jan 12, 2025 12:30 AM;66.00;655.75;879.00;0.00;0.00;0.00;310.25;0.00;30.50
Jan 12, 2025 12:30 AM;Jan 12, 2025 12:45 AM;66.00;646.75;877.00;0.00;0.00;0.00;308.50;0.00;30.50
Jan 12, 2025 12:45 AM;Jan 12, 2025 1:00 AM;66.00;642.25;873.00;0.00;0.00;0.00;308.50;0.00;30.50
Jan 12, 2025 1:00 AM;Jan 12, 2025 1:15 AM;66.00;646.00;864.00;0.00;0.00;0.00;308.50;0.00;30.50
Jan 12, 2025 1:15 AM;Jan 12, 2025 1:30 AM;65.00;640.00;860.00;0.00;0.00;0.00;308.25;0.00;30.50
Jan 12, 2025 1:30 AM;Jan 12, 2025 1:45 AM;65.00;650.00;866.00;0.00;0.00;0.00;309.00;0.00;30.50
Jan 12, 2025 1:45 AM;Jan 12, 2025 2:00 AM;65.00;639.50;866.00;0.00;0.00;0.00;309.00;0.00;30.50
Jan 12, 2025 2:00 AM;Jan 12, 2025 2:15 AM;65.00;642.50;872.00;0.00;0.00;0.00;311.75;0.00;30.50
