Start date;End date;Total [MWh] Original resolutions;Photovoltaics and wind [MWh] Original resolutions;Wind onshore [MWh] Original resolutions;Photovoltaics [MWh] Original resolutions;Other [MWh] Calculated resolutions
Jul 7, 2025 8:15 PM;Jul 7, 2025 8:30 PM;1,654.50;115.00;105.00;10.00;1,536.75
Jul 7, 2025 8:30 PM;Jul 7, 2025 8:45 PM;1,654.50;117.00;113.00;4.00;1,536.75
Jul 7, 2025 8:45 PM;Jul 7, 2025 9:00 PM;1,654.50;122.00;121.00;1.00;1,536.75
Jul 7, 2025 9:00 PM;Jul 7, 2025 9:15 PM;1,544.00;129.00;129.00;0.00;1,396.25
Jul 7, 2025 9:15 PM;Jul 7, 2025 9:30 PM;1,544.00;142.00;142.00;0.00;1,396.25
Jul 7, 2025 9:30 PM;Jul 7, 2025 9:45 PM;1,544.00;154.00;154.00;0.00;1,396.25
Jul 7, 2025 9:45 PM;Jul 7, 2025 10:00 PM;1,544.00;166.00;166.00;0.00;1,396.25
Jul 7, 2025 10:00 PM;Jul 7, 2025 10:15 PM;1,175.50;179.00;179.00;0.00;974.00
Jul 7, 2025 10:15 PM;Jul 7, 2025 10:30 PM;1,175.50;194.00;194.00;0.00;974.00
Jul 7, 2025 10:30 PM;Jul 7, 2025 10:45 PM;1,175.50;209.00;209.00;0.00;974.00
Jul 7, 2025 10:45 PM;Jul 7, 2025 11:00 PM;1,175.50;224.00;224.00;0.00;974.00
Jul 7, 2025 11:00 PM;Jul 7, 2025 11:15 PM;1,130.75;236.00;236.00;0.00;877.25
Jul 7, 2025 11:15 PM;Jul 7, 2025 11:30 PM;1,130.75;248.00;248.00;0.00;877.25
Jul 7, 2025 11:30 PM;Jul 7, 2025 11:45 PM;1,130.75;259.00;259.00;0.00;877.25
Jul 7, 2025 11:45 PM;Jul 8, 2025 12:00 AM;1,130.75;271.00;271.00;0.00;877.25
Jul 8, 2025 12:00 AM;Jul 8, 2025 12:15 AM;1,341.25;90.00;90.00;0.00;1,241.50
Jul 8, 2025 12:15 AM;Jul 8, 2025 12:30 AM;1,341.25;97.00;97.00;0.00;1,241.50
Jul 8, 2025 12:30 AM;Jul 8, 2025 12:45 AM;1,341.25;103.00;103.00;0.00;1,241.50
Jul 8, 2025 12:45 AM;Jul 8, 2025 1:00 AM;1,341.25;109.00;109.00;0.00;1,241.50
Jul 8, 2025 1:00 AM;Jul 8, 2025 1:15 AM;1,309.25;116.00;116.00;0.00;1,177.00
Jul 8, 2025 1:15 AM;Jul 8, 2025 1:30 AM;1,309.25;127.00;127.00;0.00;1,177.00
Jul 8, 2025 1:30 AM;Jul 8, 2025 1:45 AM;1,309.25;138.00;138.00;0.00;1,177.00
Jul 8, 2025 1:45 AM;Jul 8, 2025 2:00 AM;1,309.25;148.00;148.00;0.00;1,177.00
Jul 8, 2025 2:00 AM;Jul 8, 2025 2:15 AM;1,301.50;160.00;160.00;0.00;1,119.25
Jul 8, 2025 2:15 AM;Jul 8, 2025 2:30 AM;1,301.50;174.00;174.00;0.00;1,119.25
Jul 8, 2025 2:30 AM;Jul 8, 2025 2:45 AM;1,301.50;190.00;190.00;0.00;1,119.25
Jul 8, 2025 2:45 AM;Jul 8, 2025 3:00 AM;1,301.50;205.00;205.00;0.00;1,119.25
Jul 8, 2025 3:00 AM;Jul 8, 2025 3:15 AM;1,316.75;220.00;220.00;0.00;1,091.00
Jul 8, 2025 3:15 AM;Jul 8, 2025 3:30 AM;1,316.75;224.00;224.00;0.00;1,091.00
Jul 8, 2025 3:30 AM;Jul 8, 2025 3:45 AM;1,316.75;228.00;228.00;0.00;1,091.00
Jul 8, 2025 3:45 AM;Jul 8, 2025 4:00 AM;1,316.75;231.00;231.00;0.00;1,091.00
Jul 8, 2025 4:00 AM;Jul 8, 2025 4:15 AM;1,342.50;236.00;236.00;0.00;1,090.00
Jul 8, 2025 4:15 AM;Jul 8, 2025 4:30 AM;1,342.50;247.00;247.00;0.00;1,090.00
Jul 8, 2025 4:30 AM;Jul 8, 2025 4:45 AM;1,342.50;258.00;258.00;0.00;1,090.00
Jul 8, 2025 4:45 AM;Jul 8, 2025 5:00 AM;1,342.50;269.00;269.00;0.00;1,090.00
Jul 8, 2025 5:00 AM;Jul 8, 2025 5:15 AM;1,408.75;277.00;277.00;0.00;1,123.75
Jul 8, 2025 5:15 AM;Jul 8, 2025 5:30 AM;1,408.75;282.00;281.00;1.00;1,123.75
Jul 8, 2025 5:30 AM;Jul 8, 2025 5:45 AM;1,408.75;287.00;285.00;2.00;1,123.75
Jul 8, 2025 5:45 AM;Jul 8, 2025 6:00 AM;1,408.75;294.00;289.00;5.00;1,123.75
Jul 8, 2025 6:00 AM;Jul 8, 2025 6:15 AM;1,570.75;301.00;292.00;9.00;1,269.75
Jul 8, 2025 6:15 AM;Jul 8, 2025 6:30 AM;1,570.75;300.00;287.00;13.00;1,269.75
Jul 8, 2025 6:30 AM;Jul 8, 2025 6:45 AM;1,570.75;301.00;283.00;18.00;1,269.75
Jul 8, 2025 6:45 AM;Jul 8, 2025 7:00 AM;1,570.75;302.00;278.00;24.00;1,269.75
Jul 8, 2025 7:00 AM;Jul 8, 2025 7:15 AM;1,746.50;302.00;273.00;29.00;1,445.50
Jul 8, 2025 7:15 AM;Jul 8, 2025 7:30 AM;1,746.50;302.00;268.00;34.00;1,445.50
Jul 8, 2025 7:30 AM;Jul 8, 2025 7:45 AM;1,746.50;300.00;262.00;38.00;1,445.50
Jul 8, 2025 7:45 AM;Jul 8, 2025 8:00 AM;1,746.50;300.00;257.00;43.00;1,445.50
Jul 8, 2025 8:00 AM;Jul 8, 2025 8:15 AM;1,708.50;300.00;252.00;48.00;1,401.00
Jul 8, 2025 8:15 AM;Jul 8, 2025 8:30 AM;1,708.50;304.00;252.00;52.00;1,401.00
Jul 8, 2025 8:30 AM;Jul 8, 2025 8:45 AM;1,708.50;310.00;252.00;58.00;1,401.00
Jul 8, 2025 8:45 AM;Jul 8, 2025 9:00 AM;1,708.50;316.00;252.00;64.00;1,401.00
Jul 8, 2025 9:00 AM;Jul 8, 2025 9:15 AM;1,507.75;324.00;253.00;71.00;1,172.50
Jul 8, 2025 9:15 AM;Jul 8, 2025 9:30 AM;1,507.75;331.00;252.00;79.00;1,172.50
Jul 8, 2025 9:30 AM;Jul 8, 2025 9:45 AM;1,507.75;339.00;252.00;87.00;1,172.50
Jul 8, 2025 9:45 AM;Jul 8, 2025 10:00 AM;1,507.75;347.00;251.00;96.00;1,172.50
Jul 8, 2025 10:00 AM;Jul 8, 2025 10:15 AM;1,517.50;357.00;252.00;105.00;1,141.75
Jul 8, 2025 10:15 AM;Jul 8, 2025 10:30 AM;1,517.50;369.00;255.00;114.00;1,141.75
Jul 8, 2025 10:30 AM;Jul 8, 2025 10:45 AM;1,517.50;382.00;258.00;124.00;1,141.75
Jul 8, 2025 10:45 AM;Jul 8, 2025 11:00 AM;1,517.50;395.00;261.00;134.00;1,141.75
Jul 8, 2025 11:00 AM;Jul 8, 2025 11:15 AM;1,498.00;408.00;263.00;145.00;1,073.00
Jul 8, 2025 11:15 AM;Jul 8, 2025 11:30 AM;1,498.00;420.00;264.00;156.00;1,073.00
Jul 8, 2025 11:30 AM;Jul 8, 2025 11:45 AM;1,498.00;432.00;265.00;167.00;1,073.00
Jul 8, 2025 11:45 AM;Jul 8, 2025 12:00 PM;1,498.00;440.00;266.00;174.00;1,073.00
Jul 8, 2025 12:00 PM;Jul 8, 2025 12:15 PM;1,528.50;450.00;268.00;182.00;1,060.25
Jul 8, 2025 12:15 PM;Jul 8, 2025 12:30 PM;1,528.50;462.00;273.00;189.00;1,060.25
Jul 8, 2025 12:30 PM;Jul 8, 2025 12:45 PM;1,528.50;475.00;279.00;196.00;1,060.25
Jul 8, 2025 12:45 PM;Jul 8, 2025 1:00 PM;1,528.50;486.00;284.00;202.00;1,060.25
Jul 8, 2025 1:00 PM;Jul 8, 2025 1:15 PM;1,549.75;501.00;292.00;209.00;1,021.75
Jul 8, 2025 1:15 PM;Jul 8, 2025 1:30 PM;1,549.75;519.00;304.00;215.00;1,021.75
Jul 8, 2025 1:30 PM;Jul 8, 2025 1:45 PM;1,549.75;537.00;316.00;221.00;1,021.75
Jul 8, 2025 1:45 PM;Jul 8, 2025 2:00 PM;1,549.75;555.00;328.00;227.00;1,021.75
Jul 8, 2025 2:00 PM;Jul 8, 2025 2:15 PM;1,586.75;573.00;341.00;232.00;977.50
Jul 8, 2025 2:15 PM;Jul 8, 2025 2:30 PM;1,586.75;598.00;363.00;235.00;977.50
Jul 8, 2025 2:30 PM;Jul 8, 2025 2:45 PM;1,586.75;622.00;385.00;237.00;977.50
Jul 8, 2025 2:45 PM;Jul 8, 2025 3:00 PM;1,586.75;644.00;407.00;237.00;977.50
Jul 8, 2025 3:00 PM;Jul 8, 2025 3:15 PM;1,655.25;666.00;429.00;237.00;958.00
Jul 8, 2025 3:15 PM;Jul 8, 2025 3:30 PM;1,655.25;688.00;453.00;235.00;958.00
Jul 8, 2025 3:30 PM;Jul 8, 2025 3:45 PM;1,655.25;708.00;476.00;232.00;958.00
Jul 8, 2025 3:45 PM;Jul 8, 2025 4:00 PM;1,655.25;727.00;500.00;227.00;958.00
Jul 8, 2025 4:00 PM;Jul 8, 2025 4:15 PM;1,745.00;746.00;525.00;221.00;973.75
Jul 8, 2025 4:15 PM;Jul 8, 2025 4:30 PM;1,745.00;764.00;550.00;214.00;973.75
Jul 8, 2025 4:30 PM;Jul 8, 2025 4:45 PM;1,745.00;780.00;575.00;205.00;973.75
Jul 8, 2025 4:45 PM;Jul 8, 2025 5:00 PM;1,745.00;795.00;600.00;195.00;973.75
Jul 8, 2025 5:00 PM;Jul 8, 2025 5:15 PM;1,827.50;810.00;626.00;184.00;1,000.00
Jul 8, 2025 5:15 PM;Jul 8, 2025 5:30 PM;1,827.50;822.00;649.00;173.00;1,000.00
Jul 8, 2025 5:30 PM;Jul 8, 2025 5:45 PM;1,827.50;833.00;672.00;161.00;1,000.00
Jul 8, 2025 5:45 PM;Jul 8, 2025 6:00 PM;1,827.50;845.00;696.00;149.00;1,000.00
Jul 8, 2025 6:00 PM;Jul 8, 2025 6:15 PM;1,862.00;853.00;717.00;136.00;1,008.00
Jul 8, 2025 6:15 PM;Jul 8, 2025 6:30 PM;1,862.00;854.00;732.00;122.00;1,008.00
Jul 8, 2025 6:30 PM;Jul 8, 2025 6:45 PM;1,862.00;855.00;747.00;108.00;1,008.00
Jul 8, 2025 6:45 PM;Jul 8, 2025 7:00 PM;1,862.00;854.00;761.00;93.00;1,008.00
Jul 8, 2025 7:00 PM;Jul 8, 2025 7:15 PM;1,983.00;850.00;772.00;78.00;1,156.00
Jul 8, 2025 7:15 PM;Jul 8, 2025 7:30 PM;1,983.00;835.00;772.00;63.00;1,156.00
Jul 8, 2025 7:30 PM;Jul 8, 2025 7:45 PM;1,983.00;819.00;772.00;47.00;1,156.00
Jul 8, 2025 7:45 PM;Jul 8, 2025 8:00 PM;1,983.00;804.00;772.00;32.00;1,156.00
Jul 8, 2025 8:00 PM;Jul 8, 2025 8:15 PM;2,018.00;791.00;771.00;20.00;1,247.00
Jul 8, 2025 8:15 PM;Jul 8, 2025 8:30 PM;2,018.00;776.00;765.00;11.00;1,247.00
Jul 8, 2025 8:30 PM;Jul 8, 2025 8:45 PM;2,018.00;764.00;759.00;5.00;1,247.00
Jul 8, 2025 8:45 PM;Jul 8, 2025 9:00 PM;2,018.00;753.00;752.00;1.00;1,247.00
Jul 8, 2025 9:00 PM;Jul 8, 2025 9:15 PM;2,125.00;745.00;745.00;0.00;1,387.50
Jul 8, 2025 9:15 PM;Jul 8, 2025 9:30 PM;2,125.00;740.00;740.00;0.00;1,387.50
Jul 8, 2025 9:30 PM;Jul 8, 2025 9:45 PM;2,125.00;735.00;735.00;0.00;1,387.50
Jul 8, 2025 9:45 PM;Jul 8, 2025 10:00 PM;2,125.00;730.00;730.00;0.00;1,387.50
Jul 8, 2025 10:00 PM;Jul 8, 2025 10:15 PM;1,989.50;724.00;724.00;0.00;1,272.50
