Start date;End date;Biomass [MWh] Original resolutions;Hydropower [MWh] Original resolutions;Wind onshore [MWh] Original resolutions;Photovoltaics [MWh] Original resolutions;Other renewable [MWh] Original resolutions;Hard coal [MWh] Original resolutions;Fossil gas [MWh] Original resolutions;Hydro pumped storage [MWh] Original resolutions;Other conventional [MWh] Original resolutions
Jul 26, 2025 2:45 AM;Jul 26, 2025 3:00 AM;35.00;1,177.00;104.00;0.00;0.00;0.00;0.00;25.50;30.50
Jul 26, 2025 3:00 AM;Jul 26, 2025 3:15 AM;35.00;1,180.00;81.00;0.00;0.00;0.00;0.00;37.50;30.50
Jul 26, 2025 3:15 AM;Jul 26, 2025 3:30 AM;35.00;1,187.00;52.00;0.00;0.00;0.00;0.00;39.25;30.50
Jul 26, 2025 3:30 AM;Jul 26, 2025 3:45 AM;35.00;1,184.50;32.00;0.00;0.00;0.00;0.00;43.50;30.50
Jul 26, 2025 3:45 AM;Jul 26, 2025 4:00 AM;35.00;1,180.50;32.00;0.00;0.00;0.00;0.00;45.50;30.50
Jul 26, 2025 4:00 AM;Jul 26, 2025 4:15 AM;35.00;1,200.50;58.00;0.00;0.00;0.00;0.00;45.75;30.50
Jul 26, 2025 4:15 AM;Jul 26, 2025 4:30 AM;35.00;1,202.25;57.00;0.00;0.00;0.00;0.00;42.75;30.50
Jul 26, 2025 4:30 AM;Jul 26, 2025 4:45 AM;35.00;1,210.25;14.00;0.00;0.00;0.00;0.00;44.00;30.50
Jul 26, 2025 4:45 AM;Jul 26, 2025 5:00 AM;35.00;1,207.00;15.00;0.00;0.00;0.00;0.00;48.50;30.50
Jul 26, 2025 5:00 AM;Jul 26, 2025 5:15 AM;35.00;1,186.25;23.00;0.00;0.00;0.00;0.00;34.00;30.50
Jul 26, 2025 5:15 AM;Jul 26, 2025 5:30 AM;35.00;1,189.00;28.00;0.00;0.00;0.00;0.00;31.75;30.50
Jul 26, 2025 5:30 AM;Jul 26, 2025 5:45 AM;35.00;1,194.00;36.00;1.00;0.00;0.00;0.00;30.50;30.50
Jul 26, 2025 5:45 AM;Jul 26, 2025 6:00 AM;35.00;1,217.75;42.00;4.00;0.00;0.00;0.00;21.75;30.50
Jul 26, 2025 6:00 AM;Jul 26, 2025 6:15 AM;35.00;1,223.00;47.00;9.00;0.00;0.00;0.00;36.25;30.50
Jul 26, 2025 6:15 AM;Jul 26, 2025 6:30 AM;35.00;1,221.50;49.00;17.00;0.00;0.00;0.00;42.00;30.50
Jul 26, 2025 6:30 AM;Jul 26, 2025 6:45 AM;35.00;1,219.75;56.00;26.00;0.00;0.00;0.00;45.25;30.50
Jul 26, 2025 6:45 AM;Jul 26, 2025 7:00 AM;35.00;1,205.50;71.00;36.00;0.00;0.00;0.00;40.50;30.50
Jul 26, 2025 7:00 AM;Jul 26, 2025 7:15 AM;35.00;1,186.25;67.00;47.00;0.00;0.00;0.00;18.50;30.50
Jul 26, 2025 7:15 AM;Jul 26, 2025 7:30 AM;35.00;1,178.25;56.00;56.00;0.00;0.00;0.00;16.00;30.50
Jul 26, 2025 7:30 AM;Jul 26, 2025 7:45 AM;35.00;1,199.75;61.00;64.00;0.00;0.00;0.00;20.00;30.50
Jul 26, 2025 7:45 AM;Jul 26, 2025 8:00 AM;35.00;1,200.50;67.00;70.00;0.00;0.00;0.00;22.50;30.50
Jul 26, 2025 8:00 AM;Jul 26, 2025 8:15 AM;35.00;1,230.50;72.00;75.00;0.00;0.00;0.00;24.50;30.50
Jul 26, 2025 8:15 AM;Jul 26, 2025 8:30 AM;35.00;1,220.25;65.00;80.00;0.00;0.00;0.00;37.50;30.50
Jul 26, 2025 8:30 AM;Jul 26, 2025 8:45 AM;35.00;1,219.25;79.00;86.00;0.00;0.00;0.00;31.25;30.50
Jul 26, 2025 8:45 AM;Jul 26, 2025 9:00 AM;35.00;1,230.50;104.00;93.00;0.00;0.00;0.00;23.25;30.50
Jul 26, 2025 9:00 AM;Jul 26, 2025 9:15 AM;35.00;1,282.25;148.00;101.00;0.00;0.00;0.00;0.00;30.50
Jul 26, 2025 9:15 AM;Jul 26, 2025 9:30 AM;35.00;1,263.00;238.00;109.00;0.00;0.00;0.00;0.00;30.50
Jul 26, 2025 9:30 AM;Jul 26, 2025 9:45 AM;35.00;1,239.75;205.00;115.00;0.00;0.00;0.00;0.00;30.50
Jul 26, 2025 9:45 AM;Jul 26, 2025 10:00 AM;35.00;1,216.50;178.00;123.00;0.00;0.00;0.00;0.00;30.50
Jul 26, 2025 10:00 AM;Jul 26, 2025 10:15 AM;35.00;1,214.25;232.00;127.00;0.00;0.00;0.00;0.00;30.50
Jul 26, 2025 10:15 AM;Jul 26, 2025 10:30 AM;35.00;1,281.00;104.00;141.00;0.00;0.00;0.00;0.00;30.50
Jul 26, 2025 10:30 AM;Jul 26, 2025 10:45 AM;35.00;1,301.00;73.00;149.00;0.00;0.00;0.00;0.00;30.50
Jul 26, 2025 10:45 AM;Jul 26, 2025 11:00 AM;35.00;1,314.25;51.00;159.00;0.00;0.00;0.00;0.00;30.50
