Start date;End date;Photovoltaics and wind [MWh] Original resolutions;Wind onshore [MWh] Original resolutions;Photovoltaics [MWh] Original resolutions
Jan 25, 2025 11:30 AM;Jan 25, 2025 11:45 AM;642.00;269.00;373.00
Jan 25, 2025 11:45 AM;Jan 25, 2025 12:00 PM;648.00;274.00;374.00
Jan 25, 2025 12:00 PM;Jan 25, 2025 12:15 PM;659.00;280.00;379.00
Jan 25, 2025 12:15 PM;Jan 25, 2025 12:30 PM;677.00;288.00;389.00
Jan 25, 2025 12:30 PM;Jan 25, 2025 12:45 PM;682.00;295.00;387.00
Jan 25, 2025 12:45 PM;Jan 25, 2025 1:00 PM;676.00;302.00;374.00
Jan 25, 2025 1:00 PM;Jan 25, 2025 1:15 PM;673.00;308.00;365.00
Jan 25, 2025 1:15 PM;Jan 25, 2025 1:30 PM;674.00;313.00;361.00
Jan 25, 2025 1:30 PM;Jan 25, 2025 1:45 PM;663.00;318.00;345.00
Jan 25, 2025 1:45 PM;Jan 25, 2025 2:00 PM;642.00;323.00;319.00
Jan 25, 2025 2:00 PM;Jan 25, 2025 2:15 PM;612.00;325.00;287.00
Jan 25, 2025 2:15 PM;Jan 25, 2025 2:30 PM;580.00;321.00;259.00
Jan 25, 2025 2:30 PM;Jan 25, 2025 2:45 PM;542.00;318.00;224.00
Jan 25, 2025 2:45 PM;Jan 25, 2025 3:00 PM;501.00;314.00;187.00
Jan 25, 2025 3:00 PM;Jan 25, 2025 3:15 PM;463.00;314.00;149.00
Jan 25, 2025 3:15 PM;Jan 25, 2025 3:30 PM;442.00;323.00;119.00
Jan 25, 2025 3:30 PM;Jan 25, 2025 3:45 PM;428.00;331.00;97.00
Jan 25, 2025 3:45 PM;Jan 25, 2025 4:00 PM;416.00;340.00;76.00
Jan 25, 2025 4:00 PM;Jan 25, 2025 4:15 PM;411.00;352.00;59.00
Jan 25, 2025 4:15 PM;Jan 25, 2025 4:30 PM;417.00;369.00;48.00
Jan 25, 2025 4:30 PM;Jan 25, 2025 4:45 PM;422.00;386.00;36.00
Jan 25, 2025 4:45 PM;Jan 25, 2025 5:00 PM;415.00;402.00;13.00
Jan 25, 2025 5:00 PM;Jan 25, 2025 5:15 PM;418.00;418.00;0.00
Jan 25, 2025 5:15 PM;Jan 25, 2025 5:30 PM;432.00;432.00;0.00
Jan 25, 2025 5:30 PM;Jan 25, 2025 5:45 PM;446.00;446.00;0.00
Jan 25, 2025 5:45 PM;Jan 25, 2025 6:00 PM;461.00;461.00;0.00
Jan 25, 2025 6:00 PM;Jan 25, 2025 6:15 PM;470.00;470.00;0.00
Jan 25, 2025 6:15 PM;Jan 25, 2025 6:30 PM;473.00;473.00;0.00
Jan 25, 2025 6:30 PM;Jan 25, 2025 6:45 PM;476.00;476.00;0.00
Jan 25, 2025 6:45 PM;Jan 25, 2025 7:00 PM;479.00;479.00;0.00
Jan 25, 2025 7:00 PM;Jan 25, 2025 7:15 PM;483.00;483.00;0.00
Jan 25, 2025 7:15 PM;Jan 25, 2025 7:30 PM;487.00;487.00;0.00
Jan 25, 2025 7:30 PM;Jan 25, 2025 7:45 PM;492.00;492.00;0.00
Jan 25, 2025 7:45 PM;Jan 25, 2025 8:00 PM;496.00;496.00;0.00
Jan 25, 2025 8:00 PM;Jan 25, 2025 8:15 PM;498.00;498.00;0.00
Jan 25, 2025 8:15 PM;Jan 25, 2025 8:30 PM;498.00;498.00;0.00
Jan 25, 2025 8:30 PM;Jan 25, 2025 8:45 PM;498.00;498.00;0.00
Jan 25, 2025 8:45 PM;Jan 25, 2025 9:00 PM;497.00;497.00;0.00
Jan 25, 2025 9:00 PM;Jan 25, 2025 9:15 PM;495.00;495.00;0.00
Jan 25, 2025 9:15 PM;Jan 25, 2025 9:30 PM;491.00;491.00;0.00
Jan 25, 2025 9:30 PM;Jan 25, 2025 9:45 PM;486.00;486.00;0.00
Jan 25, 2025 9:45 PM;Jan 25, 2025 10:00 PM;481.00;481.00;0.00
Jan 25, 2025 10:00 PM;Jan 25, 2025 10:15 PM;479.00;479.00;0.00
Jan 25, 2025 10:15 PM;Jan 25, 2025 10:30 PM;478.00;478.00;0.00
Jan 25, 2025 10:30 PM;Jan 25, 2025 10:45 PM;478.00;478.00;0.00
Jan 25, 2025 10:45 PM;Jan 25, 2025 11:00 PM;478.00;478.00;0.00
Jan 25, 2025 11:00 PM;Jan 25, 2025 11:15 PM;479.00;479.00;0.00
Jan 25, 2025 11:15 PM;Jan 25, 2025 11:30 PM;480.00;480.00;0.00
Jan 25, 2025 11:30 PM;Jan 25, 2025 11:45 PM;481.00;481.00;0.00
Jan 25, 2025 11:45 PM;Jan 26, 2025 12:00 AM;481.00;481.00;0.00
Jan 26, 2025 12:00 AM;Jan 26, 2025 12:15 AM;617.00;617.00;0.00
Jan 26, 2025 12:15 AM;Jan 26, 2025 12:30 AM;629.00;629.00;0.00
Jan 26, 2025 12:30 AM;Jan 26, 2025 12:45 AM;660.00;660.00;0.00
Jan 26, 2025 12:45 AM;Jan 26, 2025 1:00 AM;668.00;668.00;0.00
Jan 26, 2025 1:00 AM;Jan 26, 2025 1:15 AM;673.00;673.00;0.00
Jan 26, 2025 1:15 AM;Jan 26, 2025 1:30 AM;668.00;668.00;0.00
Jan 26, 2025 1:30 AM;Jan 26, 2025 1:45 AM;665.00;665.00;0.00
Jan 26, 2025 1:45 AM;Jan 26, 2025 2:00 AM;657.00;657.00;0.00
Jan 26, 2025 2:00 AM;Jan 26, 2025 2:15 AM;643.00;643.00;0.00
Jan 26, 2025 2:15 AM;Jan 26, 2025 2:30 AM;622.00;622.00;0.00
Jan 26, 2025 2:30 AM;Jan 26, 2025 2:45 AM;603.00;603.00;0.00
Jan 26, 2025 2:45 AM;Jan 26, 2025 3:00 AM;582.00;582.00;0.00
Jan 26, 2025 3:00 AM;Jan 26, 2025 3:15 AM;559.00;559.00;0.00
Jan 26, 2025 3:15 AM;Jan 26, 2025 3:30 AM;538.00;538.00;0.00
Jan 26, 2025 3:30 AM;Jan 26, 2025 3:45 AM;514.00;514.00;0.00
Jan 26, 2025 3:45 AM;Jan 26, 2025 4:00 AM;490.00;490.00;0.00
Jan 26, 2025 4:00 AM;Jan 26, 2025 4:15 AM;464.00;464.00;0.00
Jan 26, 2025 4:15 AM;Jan 26, 2025 4:30 AM;434.00;434.00;0.00
Jan 26, 2025 4:30 AM;Jan 26, 2025 4:45 AM;403.00;403.00;0.00
Jan 26, 2025 4:45 AM;Jan 26, 2025 5:00 AM;372.00;372.00;0.00
Jan 26, 2025 5:00 AM;Jan 26, 2025 5:15 AM;346.00;346.00;0.00
Jan 26, 2025 5:15 AM;Jan 26, 2025 5:30 AM;324.00;324.00;0.00
Jan 26, 2025 5:30 AM;Jan 26, 2025 5:45 AM;317.00;317.00;0.00
Jan 26, 2025 5:45 AM;Jan 26, 2025 6:00 AM;298.00;298.00;0.00
Jan 26, 2025 6:00 AM;Jan 26, 2025 6:15 AM;282.00;282.00;0.00
Jan 26, 2025 6:15 AM;Jan 26, 2025 6:30 AM;268.00;268.00;0.00
Jan 26, 2025 6:30 AM;Jan 26, 2025 6:45 AM;255.00;255.00;0.00
Jan 26, 2025 6:45 AM;Jan 26, 2025 7:00 AM;242.00;242.00;0.00
Jan 26, 2025 7:00 AM;Jan 26, 2025 7:15 AM;229.00;229.00;0.00
Jan 26, 2025 7:15 AM;Jan 26, 2025 7:30 AM;219.00;219.00;0.00
Jan 26, 2025 7:30 AM;Jan 26, 2025 7:45 AM;215.00;208.00;7.00
Jan 26, 2025 7:45 AM;Jan 26, 2025 8:00 AM;214.00;198.00;16.00
Jan 26, 2025 8:00 AM;Jan 26, 2025 8:15 AM;216.00;188.00;28.00
Jan 26, 2025 8:15 AM;Jan 26, 2025 8:30 AM;226.00;181.00;45.00
Jan 26, 2025 8:30 AM;Jan 26, 2025 8:45 AM;237.00;174.00;63.00
Jan 26, 2025 8:45 AM;Jan 26, 2025 9:00 AM;299.00;168.00;131.00
Jan 26, 2025 9:00 AM;Jan 26, 2025 9:15 AM;321.00;167.00;154.00
Jan 26, 2025 9:15 AM;Jan 26, 2025 9:30 AM;341.00;174.00;167.00
Jan 26, 2025 9:30 AM;Jan 26, 2025 9:45 AM;364.00;182.00;182.00
Jan 26, 2025 9:45 AM;Jan 26, 2025 10:00 AM;384.00;189.00;195.00
Jan 26, 2025 10:00 AM;Jan 26, 2025 10:15 AM;405.00;192.00;213.00
Jan 26, 2025 10:15 AM;Jan 26, 2025 10:30 AM;420.00;186.00;234.00
Jan 26, 2025 10:30 AM;Jan 26, 2025 10:45 AM;430.00;181.00;249.00
Jan 26, 2025 10:45 AM;Jan 26, 2025 11:00 AM;435.00;175.00;260.00
Jan 26, 2025 11:00 AM;Jan 26, 2025 11:15 AM;443.00;168.00;275.00
Jan 26, 2025 11:15 AM;Jan 26, 2025 11:30 AM;453.00;161.00;292.00
Jan 26, 2025 11:30 AM;Jan 26, 2025 11:45 AM;452.00;154.00;298.00
Jan 26, 2025 11:45 AM;Jan 26, 2025 12:00 PM;441.00;146.00;295.00
Jan 26, 2025 12:00 PM;Jan 26, 2025 12:15 PM;435.00;139.00;296.00
Jan 26, 2025 12:15 PM;Jan 26, 2025 12:30 PM;432.00;132.00;300.00
Jan 26, 2025 12:30 PM;Jan 26, 2025 12:45 PM;419.00;125.00;294.00
Jan 26, 2025 12:45 PM;Jan 26, 2025 1:00 PM;398.00;118.00;280.00
Jan 26, 2025 1:00 PM;Jan 26, 2025 1:15 PM;379.00;111.00;268.00
Jan 26, 2025 1:15 PM;Jan 26, 2025 1:30 PM;365.00;106.00;259.00
Jan 26, 2025 1:30 PM;Jan 26, 2025 1:45 PM;345.00;101.00;244.00
Jan 26, 2025 1:45 PM;Jan 26, 2025 2:00 PM;319.00;96.00;223.00
Jan 26, 2025 2:00 PM;Jan 26, 2025 2:15 PM;293.00;91.00;202.00
Jan 26, 2025 2:15 PM;Jan 26, 2025 2:30 PM;272.00;88.00;184.00
Jan 26, 2025 2:30 PM;Jan 26, 2025 2:45 PM;247.00;85.00;162.00
Jan 26, 2025 2:45 PM;Jan 26, 2025 3:00 PM;218.00;81.00;137.00
Jan 26, 2025 3:00 PM;Jan 26, 2025 3:15 PM;189.00;79.00;110.00
Jan 26, 2025 3:15 PM;Jan 26, 2025 3:30 PM;167.00;77.00;90.00
Jan 26, 2025 3:30 PM;Jan 26, 2025 3:45 PM;152.00;76.00;76.00
Jan 26, 2025 3:45 PM;Jan 26, 2025 4:00 PM;137.00;75.00;62.00
